nome_sub_familia,quantidade,percent_familia,cluster_id,cluster_name
REFRIGERANTES,293,34.30913348946136,0,"0-REFRIGERANTES,BOVINA,CERVEJAS LATA"
BOVINA,44,5.152224824355972,0,"0-REFRIGERANTES,BOVINA,CERVEJAS LATA"
CERVEJAS LATA,36,4.215456674473068,0,"0-REFRIGERANTES,BOVINA,CERVEJAS LATA"
PRODUCAO PROPRIA,25,2.927400468384075,0,"0-REFRIGERANTES,BOVINA,CERVEJAS LATA"
GERAL ROTISSERIA,25,2.927400468384075,0,"0-REFRIGERANTES,BOVINA,CERVEJAS LATA"
FRUTAS,24,2.810304449648712,0,"0-REFRIGERANTES,BOVINA,CERVEJAS LATA"
AGUA MINERAL/SABORES,22,2.576112412177986,0,"0-REFRIGERANTES,BOVINA,CERVEJAS LATA"
LINGUICA,18,2.107728337236534,0,"0-REFRIGERANTES,BOVINA,CERVEJAS LATA"
SUINA,16,1.873536299765808,0,"0-REFRIGERANTES,BOVINA,CERVEJAS LATA"
AVES,15,1.756440281030445,0,"0-REFRIGERANTES,BOVINA,CERVEJAS LATA"
Sub Familia em Geral,15,1.756440281030445,0,"0-REFRIGERANTES,BOVINA,CERVEJAS LATA"
SALGADINHOS,14,1.639344262295082,0,"0-REFRIGERANTES,BOVINA,CERVEJAS LATA"
CHOCOLATES/OVOS PASC,14,1.639344262295082,0,"0-REFRIGERANTES,BOVINA,CERVEJAS LATA"
BALAS EM GERAL,14,1.639344262295082,0,"0-REFRIGERANTES,BOVINA,CERVEJAS LATA"
LEGUMES,12,1.405152224824356,0,"0-REFRIGERANTES,BOVINA,CERVEJAS LATA"
MAC INSTANTANEO,10,1.1709601873536302,0,"0-REFRIGERANTES,BOVINA,CERVEJAS LATA"
FOLHAS,10,1.1709601873536302,0,"0-REFRIGERANTES,BOVINA,CERVEJAS LATA"
SUCOS PRONTOS/NECTAR,10,1.1709601873536302,0,"0-REFRIGERANTES,BOVINA,CERVEJAS LATA"
PAO QUEIJO/PIZZA,9,1.053864168618267,0,"0-REFRIGERANTES,BOVINA,CERVEJAS LATA"
BISCOITOS DOCES,9,1.053864168618267,0,"0-REFRIGERANTES,BOVINA,CERVEJAS LATA"
FRUTAS,1464,5.143338954468803,1,"1-FRUTAS,LEGUMES,PRODUCAO PROPRIA"
LEGUMES,1257,4.41610455311973,1,"1-FRUTAS,LEGUMES,PRODUCAO PROPRIA"
PRODUCAO PROPRIA,1253,4.402051714446318,1,"1-FRUTAS,LEGUMES,PRODUCAO PROPRIA"
BISCOITOS DOCES,1119,3.9312816188870148,1,"1-FRUTAS,LEGUMES,PRODUCAO PROPRIA"
REFRIGERANTES,1006,3.534288926363125,1,"1-FRUTAS,LEGUMES,PRODUCAO PROPRIA"
BOVINA,891,3.1302698145025296,1,"1-FRUTAS,LEGUMES,PRODUCAO PROPRIA"
AVES,659,2.315205171444632,1,"1-FRUTAS,LEGUMES,PRODUCAO PROPRIA"
SABONETES,636,2.2344013490725128,1,"1-FRUTAS,LEGUMES,PRODUCAO PROPRIA"
REFRESCO,615,2.1606239460370995,1,"1-FRUTAS,LEGUMES,PRODUCAO PROPRIA"
FOLHAS,598,2.1008993816750983,1,"1-FRUTAS,LEGUMES,PRODUCAO PROPRIA"
DETERGENTES LIQUIDOS,544,1.9111860595840362,1,"1-FRUTAS,LEGUMES,PRODUCAO PROPRIA"
GERAL ROTISSERIA,509,1.7882237211916805,1,"1-FRUTAS,LEGUMES,PRODUCAO PROPRIA"
QUEIJOS,497,1.7460652051714445,1,"1-FRUTAS,LEGUMES,PRODUCAO PROPRIA"
SUINA,466,1.6371557054525014,1,"1-FRUTAS,LEGUMES,PRODUCAO PROPRIA"
MAC INSTANTANEO,461,1.6195896571107364,1,"1-FRUTAS,LEGUMES,PRODUCAO PROPRIA"
LEITE L.V TRADICIONAL,448,1.5739179314221474,1,"1-FRUTAS,LEGUMES,PRODUCAO PROPRIA"
SALGADINHOS,393,1.380691399662732,1,"1-FRUTAS,LEGUMES,PRODUCAO PROPRIA"
CHOCOLATES/OVOS PASC,387,1.3596121416526137,1,"1-FRUTAS,LEGUMES,PRODUCAO PROPRIA"
Sub Familia em Geral,376,1.320966835300731,1,"1-FRUTAS,LEGUMES,PRODUCAO PROPRIA"
LINGUICA,363,1.2752951096121417,1,"1-FRUTAS,LEGUMES,PRODUCAO PROPRIA"
LEGUMES,2151,26.90768076057043,2,"2-LEGUMES,FRUTAS,FOLHAS"
FRUTAS,1589,19.877408056042032,2,"2-LEGUMES,FRUTAS,FOLHAS"
FOLHAS,577,7.217913435076308,2,"2-LEGUMES,FRUTAS,FOLHAS"
BOVINA,288,3.6027020265198897,2,"2-LEGUMES,FRUTAS,FOLHAS"
PRODUCAO PROPRIA,174,2.176632474355767,2,"2-LEGUMES,FRUTAS,FOLHAS"
AVES,153,1.9139354515886913,2,"2-LEGUMES,FRUTAS,FOLHAS"
REFRIGERANTES,153,1.9139354515886913,2,"2-LEGUMES,FRUTAS,FOLHAS"
ALHO,104,1.300975731798849,2,"2-LEGUMES,FRUTAS,FOLHAS"
SUINA,99,1.238428821616212,2,"2-LEGUMES,FRUTAS,FOLHAS"
GERAL ROTISSERIA,93,1.1633725293970478,2,"2-LEGUMES,FRUTAS,FOLHAS"
BISCOITOS DOCES,86,1.075806855141356,2,"2-LEGUMES,FRUTAS,FOLHAS"
OVOS,86,1.075806855141356,2,"2-LEGUMES,FRUTAS,FOLHAS"
QUEIJOS,72,0.9006755066299724,2,"2-LEGUMES,FRUTAS,FOLHAS"
PAES SALGADOS,69,0.8631473605203903,2,"2-LEGUMES,FRUTAS,FOLHAS"
LINGUICA,60,0.7505629221916438,2,"2-LEGUMES,FRUTAS,FOLHAS"
FEIJAO,57,0.7130347760820616,2,"2-LEGUMES,FRUTAS,FOLHAS"
DETERGENTES LIQUIDOS,53,0.6629972479359519,2,"2-LEGUMES,FRUTAS,FOLHAS"
MOLHOS TOMATES,52,0.6504878658994245,2,"2-LEGUMES,FRUTAS,FOLHAS"
CHOCOLATES/OVOS PASC,50,0.6254691018263697,2,"2-LEGUMES,FRUTAS,FOLHAS"
MAC OVOS E SEMOLA,46,0.5754315736802602,2,"2-LEGUMES,FRUTAS,FOLHAS"
FRUTAS,5647,18.273306798692683,3,"3-FRUTAS,LEGUMES,FOLHAS"
LEGUMES,2757,8.921463935540238,3,"3-FRUTAS,LEGUMES,FOLHAS"
FOLHAS,1740,5.630521308610815,3,"3-FRUTAS,LEGUMES,FOLHAS"
PRODUCAO PROPRIA,1484,4.802122771251982,3,"3-FRUTAS,LEGUMES,FOLHAS"
BOVINA,935,3.0255962204316735,3,"3-FRUTAS,LEGUMES,FOLHAS"
REFRIGERANTES,885,2.8637996311037766,3,"3-FRUTAS,LEGUMES,FOLHAS"
GERAL ROTISSERIA,852,2.757013882147364,3,"3-FRUTAS,LEGUMES,FOLHAS"
BISCOITOS DOCES,616,1.9933339805196908,3,"3-FRUTAS,LEGUMES,FOLHAS"
AVES,577,1.8671326408439308,3,"3-FRUTAS,LEGUMES,FOLHAS"
QUEIJOS,482,1.5597191211209267,3,"3-FRUTAS,LEGUMES,FOLHAS"
SUINA,417,1.3493835549946607,3,"3-FRUTAS,LEGUMES,FOLHAS"
PAES SALGADOS,392,1.2684852603307122,3,"3-FRUTAS,LEGUMES,FOLHAS"
DETERGENTES LIQUIDOS,351,1.1358120570818369,3,"3-FRUTAS,LEGUMES,FOLHAS"
OVOS,329,1.0646215577775622,3,"3-FRUTAS,LEGUMES,FOLHAS"
CHOCOLATES/OVOS PASC,323,1.0452059670582143,3,"3-FRUTAS,LEGUMES,FOLHAS"
SUCOS PRONTOS/NECTAR,317,1.0257903763388667,3,"3-FRUTAS,LEGUMES,FOLHAS"
LEITE L.V TRADICIONAL,315,1.019318512765751,3,"3-FRUTAS,LEGUMES,FOLHAS"
IOGURTES/SOBREMESAS,314,1.016082580979193,3,"3-FRUTAS,LEGUMES,FOLHAS"
DESODORANTE AEROSOL,301,0.9740154677539397,3,"3-FRUTAS,LEGUMES,FOLHAS"
LINGUICA,285,0.9222405591690127,3,"3-FRUTAS,LEGUMES,FOLHAS"
GERAL ROTISSERIA,1150,49.335049335049334,4,"4-GERAL ROTISSERIA,FRUTAS,REFRIGERANTES"
FRUTAS,163,6.992706992706993,4,"4-GERAL ROTISSERIA,FRUTAS,REFRIGERANTES"
REFRIGERANTES,148,6.349206349206349,4,"4-GERAL ROTISSERIA,FRUTAS,REFRIGERANTES"
PRODUCAO PROPRIA,123,5.276705276705277,4,"4-GERAL ROTISSERIA,FRUTAS,REFRIGERANTES"
LEGUMES,56,2.4024024024024024,4,"4-GERAL ROTISSERIA,FRUTAS,REFRIGERANTES"
FOLHAS,48,2.0592020592020592,4,"4-GERAL ROTISSERIA,FRUTAS,REFRIGERANTES"
SUCOS PRONTOS/NECTAR,40,1.7160017160017158,4,"4-GERAL ROTISSERIA,FRUTAS,REFRIGERANTES"
DOCES,33,1.4157014157014158,4,"4-GERAL ROTISSERIA,FRUTAS,REFRIGERANTES"
BISCOITOS DOCES,32,1.3728013728013728,4,"4-GERAL ROTISSERIA,FRUTAS,REFRIGERANTES"
CHOCOLATES/OVOS PASC,28,1.2012012012012012,4,"4-GERAL ROTISSERIA,FRUTAS,REFRIGERANTES"
SALGADINHOS,26,1.1154011154011154,4,"4-GERAL ROTISSERIA,FRUTAS,REFRIGERANTES"
BOVINA,18,0.7722007722007722,4,"4-GERAL ROTISSERIA,FRUTAS,REFRIGERANTES"
AGUA MINERAL/SABORES,17,0.7293007293007293,4,"4-GERAL ROTISSERIA,FRUTAS,REFRIGERANTES"
PAES SALGADOS,14,0.6006006006006006,4,"4-GERAL ROTISSERIA,FRUTAS,REFRIGERANTES"
CAFE,14,0.6006006006006006,4,"4-GERAL ROTISSERIA,FRUTAS,REFRIGERANTES"
IOGURTES/SOBREMESAS,14,0.6006006006006006,4,"4-GERAL ROTISSERIA,FRUTAS,REFRIGERANTES"
LINGUICA,12,0.5148005148005148,4,"4-GERAL ROTISSERIA,FRUTAS,REFRIGERANTES"
BALAS EM GERAL,12,0.5148005148005148,4,"4-GERAL ROTISSERIA,FRUTAS,REFRIGERANTES"
QUEIJOS,12,0.5148005148005148,4,"4-GERAL ROTISSERIA,FRUTAS,REFRIGERANTES"
CHICLE/GOMA,11,0.4719004719004719,4,"4-GERAL ROTISSERIA,FRUTAS,REFRIGERANTES"
BOVINA,260,33.94255874673629,5,"5-BOVINA,AVES,SUINA"
AVES,118,15.404699738903393,5,"5-BOVINA,AVES,SUINA"
SUINA,50,6.527415143603134,5,"5-BOVINA,AVES,SUINA"
LINGUICA,25,3.263707571801567,5,"5-BOVINA,AVES,SUINA"
FRUTAS,21,2.741514360313316,5,"5-BOVINA,AVES,SUINA"
Sub Familia em Geral,19,2.4804177545691903,5,"5-BOVINA,AVES,SUINA"
FOLHAS,17,2.219321148825065,5,"5-BOVINA,AVES,SUINA"
PRODUCAO PROPRIA,17,2.219321148825065,5,"5-BOVINA,AVES,SUINA"
LEGUMES,16,2.088772845953003,5,"5-BOVINA,AVES,SUINA"
REFRIGERANTES,14,1.8276762402088773,5,"5-BOVINA,AVES,SUINA"
MOLHOS TOMATES,11,1.4360313315926894,5,"5-BOVINA,AVES,SUINA"
SALSICHA,11,1.4360313315926894,5,"5-BOVINA,AVES,SUINA"
MAC INSTANTANEO,10,1.3054830287206265,5,"5-BOVINA,AVES,SUINA"
REFRESCO,9,1.1749347258485638,5,"5-BOVINA,AVES,SUINA"
GERAL ROTISSERIA,8,1.0443864229765014,5,"5-BOVINA,AVES,SUINA"
ACHOCOLATADOS PO/LIQ,8,1.0443864229765014,5,"5-BOVINA,AVES,SUINA"
TEMPERADOS,7,0.9138381201044387,5,"5-BOVINA,AVES,SUINA"
PAES SALGADOS,7,0.9138381201044387,5,"5-BOVINA,AVES,SUINA"
ACUCAR,7,0.9138381201044387,5,"5-BOVINA,AVES,SUINA"
SALGADINHOS,6,0.7832898172323759,5,"5-BOVINA,AVES,SUINA"
FRUTAS,1522,45.5688622754491,6,"6-FRUTAS,LEGUMES,FOLHAS"
LEGUMES,422,12.634730538922156,6,"6-FRUTAS,LEGUMES,FOLHAS"
FOLHAS,274,8.203592814371257,6,"6-FRUTAS,LEGUMES,FOLHAS"
PRODUCAO PROPRIA,94,2.81437125748503,6,"6-FRUTAS,LEGUMES,FOLHAS"
GERAL ROTISSERIA,94,2.81437125748503,6,"6-FRUTAS,LEGUMES,FOLHAS"
BOVINA,48,1.437125748502994,6,"6-FRUTAS,LEGUMES,FOLHAS"
BISCOITOS DOCES,46,1.377245508982036,6,"6-FRUTAS,LEGUMES,FOLHAS"
PAES SALGADOS,40,1.1976047904191618,6,"6-FRUTAS,LEGUMES,FOLHAS"
ALHO,38,1.1377245508982037,6,"6-FRUTAS,LEGUMES,FOLHAS"
AVES,30,0.8982035928143712,6,"6-FRUTAS,LEGUMES,FOLHAS"
OVOS,29,0.8682634730538923,6,"6-FRUTAS,LEGUMES,FOLHAS"
QUEIJOS,29,0.8682634730538923,6,"6-FRUTAS,LEGUMES,FOLHAS"
CHOCOLATES/OVOS PASC,23,0.688622754491018,6,"6-FRUTAS,LEGUMES,FOLHAS"
SUCOS PRONTOS/NECTAR,21,0.6287425149700598,6,"6-FRUTAS,LEGUMES,FOLHAS"
REFRIGERANTES,19,0.5688622754491018,6,"6-FRUTAS,LEGUMES,FOLHAS"
LEITE L.V TRADICIONAL,19,0.5688622754491018,6,"6-FRUTAS,LEGUMES,FOLHAS"
Sub Familia em Geral,16,0.47904191616766467,6,"6-FRUTAS,LEGUMES,FOLHAS"
SALGADINHOS,15,0.4491017964071856,6,"6-FRUTAS,LEGUMES,FOLHAS"
SORVETE 2LITROS,15,0.4491017964071856,6,"6-FRUTAS,LEGUMES,FOLHAS"
DOCES,15,0.4491017964071856,6,"6-FRUTAS,LEGUMES,FOLHAS"
PRODUCAO PROPRIA,746,41.60624651422197,7,"7-PRODUCAO PROPRIA,FRUTAS,REFRIGERANTES"
FRUTAS,146,8.142777467930843,7,"7-PRODUCAO PROPRIA,FRUTAS,REFRIGERANTES"
REFRIGERANTES,88,4.9079754601226995,7,"7-PRODUCAO PROPRIA,FRUTAS,REFRIGERANTES"
GERAL ROTISSERIA,49,2.7328499721137756,7,"7-PRODUCAO PROPRIA,FRUTAS,REFRIGERANTES"
LEGUMES,41,2.286670384829894,7,"7-PRODUCAO PROPRIA,FRUTAS,REFRIGERANTES"
QUEIJOS,37,2.0635805911879532,7,"7-PRODUCAO PROPRIA,FRUTAS,REFRIGERANTES"
MORTADELA P/FATIAR,29,1.6174010039040714,7,"7-PRODUCAO PROPRIA,FRUTAS,REFRIGERANTES"
FOLHAS,29,1.6174010039040714,7,"7-PRODUCAO PROPRIA,FRUTAS,REFRIGERANTES"
BISCOITOS DOCES,28,1.5616285554935863,7,"7-PRODUCAO PROPRIA,FRUTAS,REFRIGERANTES"
SUCOS PRONTOS/NECTAR,23,1.2827663134411602,7,"7-PRODUCAO PROPRIA,FRUTAS,REFRIGERANTES"
APRESUNTADO P/FATIAR,23,1.2827663134411602,7,"7-PRODUCAO PROPRIA,FRUTAS,REFRIGERANTES"
CHOCOLATES/OVOS PASC,22,1.2269938650306749,7,"7-PRODUCAO PROPRIA,FRUTAS,REFRIGERANTES"
SALGADINHOS,19,1.059676519799219,7,"7-PRODUCAO PROPRIA,FRUTAS,REFRIGERANTES"
AVES,18,1.003904071388734,7,"7-PRODUCAO PROPRIA,FRUTAS,REFRIGERANTES"
BOVINA,17,0.9481316229782488,7,"7-PRODUCAO PROPRIA,FRUTAS,REFRIGERANTES"
CERVEJAS LATA,14,0.7808142777467931,7,"7-PRODUCAO PROPRIA,FRUTAS,REFRIGERANTES"
REFRESCO,14,0.7808142777467931,7,"7-PRODUCAO PROPRIA,FRUTAS,REFRIGERANTES"
SABONETES,13,0.7250418293363079,7,"7-PRODUCAO PROPRIA,FRUTAS,REFRIGERANTES"
LINGUICA,12,0.6692693809258227,7,"7-PRODUCAO PROPRIA,FRUTAS,REFRIGERANTES"
Sub Familia em Geral,12,0.6692693809258227,7,"7-PRODUCAO PROPRIA,FRUTAS,REFRIGERANTES"
